sampleCount,distinctYearsUsed,effectiveYearCount,earliestSourceYear,latestSourceYear,fallbackLevel,averageSimilarity,minimumSimilarity,topYearWeightShare,latestYearWeightShare
31,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8041,0.6826,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8072,0.7875,1.0000,1.0000
23,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8123,0.7295,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8017,0.7750,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8426,0.7941,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7655,0.7066,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7578,0.6944,1.0000,1.0000
38,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8025,0.7083,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7968,0.7750,1.0000,1.0000
22,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7983,0.7350,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8201,0.7750,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8153,0.7750,1.0000,1.0000
39,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8094,0.6817,1.0000,1.0000
50,9,8.3440,2017,2025,SAME_REGION_TYPE,0.9089,0.8750,0.1446,0.0626
50,9,8.3281,2017,2025,SAME_REGION_TYPE,0.9192,0.8438,0.1433,0.0600
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7916,0.7568,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8125,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8114,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8141,0.7875,1.0000,1.0000
29,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8016,0.7036,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7752,0.7250,1.0000,1.0000
21,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8174,0.7393,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7976,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8375,0.8250,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8014,0.7650,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7870,0.7432,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8377,0.8250,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8048,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8051,0.7650,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8065,0.7750,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8027,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8135,0.7650,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7568,0.7050,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8085,0.7875,1.0000,1.0000
37,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7945,0.6895,1.0000,1.0000
37,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7985,0.6944,1.0000,1.0000
41,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8160,0.6868,1.0000,1.0000
29,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8096,0.6964,1.0000,1.0000
50,8,5.2747,2017,2025,SAME_REGION_TYPE,0.9252,0.9231,0.2402,0.0207
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8383,0.7941,1.0000,1.0000
41,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7674,0.7105,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8088,0.7500,1.0000,1.0000
21,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7304,0.6808,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8008,0.7750,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7856,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7891,0.7410,1.0000,1.0000
39,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7429,0.7041,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8052,0.7650,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7152,0.6831,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8136,0.7875,1.0000,1.0000
